Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
9-1-2020,1772040-Meredith Corporation-www.realsimple.com/,6,$170.10,0,$170.10,1,0,$30.62,16.67,$510.33,$170.10,1772040,Meredith Corporation,www.realsimple.com/,1,0,0,0,0,0,$30.62,$0.00,$0.00,$0.00,$0.00,$0.00,$6.12
9-1-2020,2284878-Tuck.com LLC-www.sleepfoundation.org/,12,$151.20,0,$151.20,1,0,$30.24,8.33,$252.00,$151.20,2284878,"Tuck.com, LLC",www.sleepfoundation.org/,1,0,0,0,0,0,$30.24,$0.00,$0.00,$0.00,$0.00,$0.00,$6.05
9-1-2020,1238556-YIELDKIT GmbH-yieldkit.com,8,$350.40,0,$350.40,2,0,$10.52,25,$131.50,$175.20,1238556,YIELDKIT GmbH,yieldkit.com,2,0,0,0,0,0,$10.52,$0.00,$0.00,$0.00,$0.00,$0.00,$2.11
9-1-2020,389818-VigLink Inc.-www.viglink.com,16,$329.45,0,$329.45,2,0,$9.89,12.5,$61.81,$164.73,389818,"VigLink, Inc.",www.viglink.com,2,0,0,0,0,0,$9.89,$0.00,$0.00,$0.00,$0.00,$0.00,$1.98
9-1-2020,140995-Savings.com Inc-www.savings.com,8,$312.60,0,$312.60,2,0,$9.38,25,$117.25,$156.30,140995,Savings.com Inc,www.savings.com,2,0,0,0,0,0,$9.38,$0.00,$0.00,$0.00,$0.00,$0.00,$1.87
9-1-2020,742098-adgoal GmbH-www.adgoal.net,2,$225.25,0,$225.25,1,0,$6.76,50,$338.00,$225.25,742098,adgoal GmbH,www.adgoal.net,1,0,0,0,0,0,$6.76,$0.00,$0.00,$0.00,$0.00,$0.00,$1.35
9-1-2020,445875-Demand.io-knoji.com,12,$209.44,0,$209.44,1,0,$6.28,8.33,$52.33,$209.44,445875,Demand.io,knoji.com,1,0,0,0,0,0,$6.28,$0.00,$0.00,$0.00,$0.00,$0.00,$1.26
9-1-2020,2053730-WW Affiliate-www.yourbestmattress247.com,11,$181.30,0,$181.30,1,0,$5.44,9.09,$49.45,$181.30,2053730,WW Affiliate,www.yourbestmattress247.com,1,0,0,0,0,0,$5.44,$0.00,$0.00,$0.00,$0.00,$0.00,$1.09
9-1-2020,314743-Skimbit Ltd-skimlinks.com,120,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,314743,Skimbit Ltd,skimlinks.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1584217-Trends Green-topnaturalmattresses.com,56,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,725033-ID.me Inc.-shop.id.me,55,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,725033,"ID.me, Inc.",shop.id.me,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1088116-Business Insider Inc.-www.businessinsider.com,43,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1088116,"Business Insider, Inc.",www.businessinsider.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,201285-12 Interactive LLC-www.perkspot.com,24,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,201285,12 Interactive LLC,www.perkspot.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1773960-Tuck.com LLC-tuck.com,19,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1773960,"Tuck.com, LLC",tuck.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,748814-Reviewed.com-www.reviewed.com,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,748814,Reviewed.com,www.reviewed.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1014069-Mutzel Nutrition LLC-highintensityhealth.com/,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1014069,Mutzel Nutrition LLC,highintensityhealth.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1413766-LinkGains (HK) Limited-www.hotdeals.com,5,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1413766,LinkGains (HK) Limited,www.hotdeals.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,136482-Vertive LLC (Offers.com LLC.)-offers.com,4,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,136482,"Vertive, LLC (Offers.com, LLC.)",offers.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,745788-digidip GmbH-digidip.net,4,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,745788,digidip GmbH,digidip.net,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,514792-CBS Interactive Inc.-www.cnet.com,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,514792,CBS Interactive Inc.,www.cnet.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1242889-RIZKNOWS LLC-www.rizknows.com,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1242889,RIZKNOWS LLC,www.rizknows.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1519404-Mariano Cordoba-marianocordoba.me,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1519404,Mariano Cordoba,marianocordoba.me,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,1578665-Mattress Advisor LLC-sleepopolis.com,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1578665,Mattress Advisor LLC,sleepopolis.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,2159987-HiSensitives-hisensitives.com,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2159987,HiSensitives,hisensitives.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,2182271-Promo Codes Guide LLC-www.promocodes.guide,3,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2182271,Promo Codes Guide LLC ,www.promocodes.guide,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-1-2020,213636-SurfMyAds.com-www.promocodes.com,2,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,213636,SurfMyAds.com,www.promocodes.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
