Date ,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
9-10-2020,314743-Skimbit Ltd-skimlinks.com,94,$754.00,0,$754.00,3,0,$113.10,3.19,$120.32,$251.33,314743,Skimbit Ltd,skimlinks.com,3,0,0,0,0,0,$113.10,$0.00,$0.00,$0.00,$0.00,$0.00,$22.63
9-10-2020,1663605-GSG North America LLC-coupons.businessinsider.com/,3,$309.40,0,$309.40,1,0,$30.94,33.33,"$1,031.33",$309.40,1663605,GSG North America LLC,coupons.businessinsider.com/,1,0,0,0,0,0,$30.94,$0.00,$0.00,$0.00,$0.00,$0.00,$6.19
9-10-2020,2284878-Tuck.com LLC-www.sleepfoundation.org/,10,$189.00,0,$189.00,1,0,$37.80,10,$378.00,$189.00,2284878,"Tuck.com, LLC",www.sleepfoundation.org/,1,0,0,0,0,0,$37.80,$0.00,$0.00,$0.00,$0.00,$0.00,$7.56
9-10-2020,201285-12 Interactive LLC-www.perkspot.com,21,$178.88,0,$178.88,1,0,$5.37,4.76,$25.57,$178.88,201285,12 Interactive LLC,www.perkspot.com,1,0,0,0,0,0,$5.37,$0.00,$0.00,$0.00,$0.00,$0.00,$1.07
9-10-2020,1088116-Business Insider Inc.-www.businessinsider.com,76,$163.17,0,$163.17,1,0,$32.63,1.32,$42.93,$163.17,1088116,"Business Insider, Inc.",www.businessinsider.com,1,0,0,0,0,0,$32.63,$0.00,$0.00,$0.00,$0.00,$0.00,$6.53
9-10-2020,389818-VigLink Inc.-www.viglink.com,36,$139.30,0,$139.30,1,0,$4.18,2.78,$11.61,$139.30,389818,"VigLink, Inc.",www.viglink.com,1,0,0,0,0,0,$4.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.84
9-10-2020,445875-Demand.io-knoji.com,5,$138.38,0,$138.38,1,0,$4.15,20,$83.00,$138.38,445875,Demand.io,knoji.com,1,0,0,0,0,0,$4.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.83
9-10-2020,725033-ID.me Inc.-shop.id.me,46,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,725033,"ID.me, Inc.",shop.id.me,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,1584217-Trends Green-topnaturalmattresses.com,35,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,1773960-Tuck.com LLC-tuck.com,28,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1773960,"Tuck.com, LLC",tuck.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,2053730-WW Affiliate-www.yourbestmattress247.com,25,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2053730,WW Affiliate,www.yourbestmattress247.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,748814-Reviewed.com-www.reviewed.com,17,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,748814,Reviewed.com,www.reviewed.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,140995-Savings.com Inc-www.savings.com,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,140995,Savings.com Inc,www.savings.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,1413766-LinkGains (HK) Limited-www.hotdeals.com,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1413766,LinkGains (HK) Limited,www.hotdeals.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,1772040-Meredith Corporation-www.realsimple.com/,6,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1772040,Meredith Corporation,www.realsimple.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,514792-CBS Interactive Inc.-www.cnet.com,5,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,514792,CBS Interactive Inc.,www.cnet.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-10-2020,745788-digidip GmbH-digidip.net,4,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,745788,digidip GmbH,digidip.net,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
