Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
9-7-2020,314743-Skimbit Ltd-skimlinks.com,163,$540.30,0,$540.30,3,0,$81.05,1.84,$49.72,$180.10,314743,Skimbit Ltd,skimlinks.com,3,0,0,0,0,0,$81.05,$0.00,$0.00,$0.00,$0.00,$0.00,$16.21
9-7-2020,213636-SurfMyAds.com-www.promocodes.com,3,$424.00,0,$424.00,2,0,$12.72,66.67,$424.00,$212.00,213636,SurfMyAds.com,www.promocodes.com,2,0,0,0,0,0,$12.72,$0.00,$0.00,$0.00,$0.00,$0.00,$2.54
9-7-2020,445875-Demand.io-knoji.com,7,$181.30,0,$181.30,1,0,$5.44,14.29,$77.71,$181.30,445875,Demand.io,knoji.com,1,0,0,0,0,0,$5.44,$0.00,$0.00,$0.00,$0.00,$0.00,$1.09
9-7-2020,140995-Savings.com Inc-www.savings.com,9,$169.00,0,$169.00,1,0,$5.07,11.11,$56.33,$169.00,140995,Savings.com Inc,www.savings.com,1,0,0,0,0,0,$5.07,$0.00,$0.00,$0.00,$0.00,$0.00,$1.01
9-7-2020,725033-ID.me Inc.-shop.id.me,50,$164.00,0,$164.00,1,0,$4.92,2,$9.84,$164.00,725033,"ID.me, Inc.",shop.id.me,1,0,0,0,0,0,$4.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.98
9-7-2020,201285-12 Interactive LLC-www.perkspot.com,25,$164.00,0,$164.00,1,0,$4.92,4,$19.68,$164.00,201285,12 Interactive LLC,www.perkspot.com,1,0,0,0,0,0,$4.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.98
9-7-2020,1088116-Business Insider Inc.-www.businessinsider.com,44,$139.30,0,$139.30,1,0,$27.86,2.27,$63.32,$139.30,1088116,"Business Insider, Inc.",www.businessinsider.com,1,0,0,0,0,0,$27.86,$0.00,$0.00,$0.00,$0.00,$0.00,$5.57
9-7-2020,136482-Vertive LLC (Offers.com LLC.)-offers.com,3,$132.30,0,$132.30,1,0,$3.97,33.33,$132.33,$132.30,136482,"Vertive, LLC (Offers.com, LLC.)",offers.com,1,0,0,0,0,0,$3.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.79
9-7-2020,1584217-Trends Green-topnaturalmattresses.com,40,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1584217,Trends Green,topnaturalmattresses.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,1773960-Tuck.com LLC-tuck.com,35,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1773960,"Tuck.com, LLC",tuck.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,1238556-YIELDKIT GmbH-yieldkit.com,10,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1238556,YIELDKIT GmbH,yieldkit.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,2053730-WW Affiliate-www.yourbestmattress247.com,10,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2053730,WW Affiliate,www.yourbestmattress247.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,389818-VigLink Inc.-www.viglink.com,9,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,389818,"VigLink, Inc.",www.viglink.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,1772040-Meredith Corporation-www.realsimple.com/,9,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1772040,Meredith Corporation,www.realsimple.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,748814-Reviewed.com-www.reviewed.com,8,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,748814,Reviewed.com,www.reviewed.com,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,2284878-Tuck.com LLC-www.sleepfoundation.org/,7,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,2284878,"Tuck.com, LLC",www.sleepfoundation.org/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9-7-2020,1014069-Mutzel Nutrition LLC-highintensityhealth.com/,5,$0.00,0,$0.00,0,0,$0.00,0,$0.00,$0.00,1014069,Mutzel Nutrition LLC,highintensityhealth.com/,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
